"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 81)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 82)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 83)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 84)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 85)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 86)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 87)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 88)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 89)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 90)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 91)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 92)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 93)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 94)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 95)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 96)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 97)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 98)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 99)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 100)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 101)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 102)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 103)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 104)",2019,06,YISHUN,816,104.0,Model A,1988,2308
"(1, 105)",2019,06,YISHUN,330,125.0,Improved,1995,2720
"(1, 106)",2019,06,YISHUN,330,125.0,Improved,1995,2720
"(1, 107)",2019,06,YISHUN,330,125.0,Improved,1995,2720
"(1, 108)",2019,06,YISHUN,330,125.0,Improved,1995,2720
"(1, 109)",2019,06,YISHUN,330,125.0,Improved,1995,2720
"(1, 110)",2019,06,YISHUN,330,125.0,Improved,1995,2720
"(1, 111)",2019,06,YISHUN,330,125.0,Improved,1995,2720
"(1, 112)",2019,06,YISHUN,330,125.0,Improved,1995,2720
"(1, 113)",2019,06,YISHUN,330,125.0,Improved,1995,2720
"(1, 114)",2019,06,YISHUN,330,125.0,Improved,1995,2720
"(1, 115)",2019,06,YISHUN,330,125.0,Improved,1995,2720
