"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 81)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 82)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 83)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 84)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 85)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 86)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 87)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 88)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 89)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 90)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 91)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 92)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 93)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 94)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 95)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 96)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 97)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 98)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 99)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 100)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 101)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 102)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 103)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 104)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 105)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 106)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 107)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 108)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 109)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 110)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 111)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 112)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 113)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 114)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 115)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 116)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 117)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 118)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 119)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 120)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 121)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 122)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 123)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 124)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 125)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 126)",2018,09,WOODLANDS,10,126.0,Standard,1976,2563
"(1, 127)",2018,09,CHOA CHU KANG,706,132.0,Model A,1995,3023
